Data,TrainDataSize,ModelType,Round,BaseModelName,TrainableParams,TargetModules,RankLoRAModule,StartTime,EndTime,NumberEpochs,EvalDataSize,C-BLEU,METEOR,ROUGE-L
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
","['q_proj', 'v_proj', 'k_proj', 'o_proj']",16,2023-10-19 11:56:45.624047,2023-10-19 13:10:23.123825,1,2000,0.018181747369351034,0.09759375293949032,"{'rouge-1': {'r': 0.16603006885114915, 'p': 0.21897633898133792, 'f': 0.1551752142165817}, 'rouge-2': {'r': 0.04274320838000451, 'p': 0.05579737872663157, 'f': 0.03855833218659947}, 'rouge-l': {'r': 0.15798647668178656, 'p': 0.20832836564922036, 'f': 0.1474716206167261}}"
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
",['q_proj'],64,2023-10-19 14:28:35.612240,2023-10-19 15:40:25.603814,1,2000,0.023259358633406987,0.13566309378218375,"{'rouge-1': {'r': 0.22952551241554153, 'p': 0.27988520350290463, 'f': 0.2105345233616705}, 'rouge-2': {'r': 0.06498786259468871, 'p': 0.07505691571513505, 'f': 0.05554770671666007}, 'rouge-l': {'r': 0.2173727928905763, 'p': 0.2637474440242626, 'f': 0.19860166180239944}}"
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
",['v_proj'],64,2023-10-19 16:48:37.749510,2023-10-19 18:00:26.104579,1,2000,0.01829779176350672,0.10760986147013277,"{'rouge-1': {'r': 0.18298002960111495, 'p': 0.19798418011609903, 'f': 0.15869116457165164}, 'rouge-2': {'r': 0.04860632162906426, 'p': 0.04962951781787948, 'f': 0.039627828100584274}, 'rouge-l': {'r': 0.1721948643378323, 'p': 0.18629913482692595, 'f': 0.1489787018619348}}"
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
",['k_proj'],64,2023-10-19 19:11:35.078951,2023-10-19 20:23:27.102989,1,2000,0.017037861807150147,0.1061864658360255,"{'rouge-1': {'r': 0.18186346367824843, 'p': 0.2123243072253777, 'f': 0.16012178040908792}, 'rouge-2': {'r': 0.047071612844185325, 'p': 0.05461344836205401, 'f': 0.03932219916226024}, 'rouge-l': {'r': 0.17207439532743055, 'p': 0.20083514971980165, 'f': 0.15109097487032475}}"
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
",['o_proj'],64,2023-10-19 21:56:11.670907,2023-10-19 23:07:43.432371,1,2000,0.02268133707368655,0.12184528949269847,"{'rouge-1': {'r': 0.20844563645217581, 'p': 0.2540454108042535, 'f': 0.18970827885942174}, 'rouge-2': {'r': 0.05643618147413471, 'p': 0.06536670769219102, 'f': 0.0482327318413062}, 'rouge-l': {'r': 0.19594002503720004, 'p': 0.23980736730758814, 'f': 0.17812377884466063}}"
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
","['q_proj', 'k_proj']",32,2023-10-20 12:50:28.558871,2023-10-20 14:03:11.192553,1,2000,0.027332691302267953,0.14480044131073902,"{'rouge-1': {'r': 0.2375734429580093, 'p': 0.29349282984965536, 'f': 0.22223740460946426}, 'rouge-2': {'r': 0.06888219054955426, 'p': 0.08410819839327154, 'f': 0.06167358661846777}, 'rouge-l': {'r': 0.22624815257411493, 'p': 0.2789594421806061, 'f': 0.2112355922765318}}"
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
","['q_proj', 'v_proj']",32,2023-10-20 15:05:41.046615,2023-10-20 16:19:34.078568,1,2000,0.01599662866306068,0.09457546319982923,"{'rouge-1': {'r': 0.15765371336598807, 'p': 0.19154159295604356, 'f': 0.13894449323497052}, 'rouge-2': {'r': 0.040585942212796884, 'p': 0.04948184493119562, 'f': 0.03379970304414342}, 'rouge-l': {'r': 0.15000686065205773, 'p': 0.18175136414412038, 'f': 0.13186000079598773}}"
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
","['k_proj', 'v_proj']",32,2023-10-20 17:24:06.396987,2023-10-20 18:38:03.920426,1,2000,0.014637682072550428,0.08168555910654553,"{'rouge-1': {'r': 0.13515473395720515, 'p': 0.15782528396819442, 'f': 0.11674876077490198}, 'rouge-2': {'r': 0.03490775036981719, 'p': 0.03980492361304237, 'f': 0.028362424102519334}, 'rouge-l': {'r': 0.1288460025613797, 'p': 0.150186804871911, 'f': 0.11097049324436886}}"
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
","['q_proj', 'o_proj']",32,2023-10-20 23:56:57.837472,2023-10-21 01:09:52.147289,1,2000,0.025000544887045898,0.13359366606518164,"{'rouge-1': {'r': 0.21175319841031784, 'p': 0.278671733501095, 'f': 0.20060446479890853}, 'rouge-2': {'r': 0.0605577223987074, 'p': 0.0771380523258423, 'f': 0.05431494700757415}, 'rouge-l': {'r': 0.20101711407137576, 'p': 0.2643847495432622, 'f': 0.19003688885063535}}"
code_docstring_corpus_data_10ktrainrows,10000,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 16,777,216 || all params: 6,755,192,832 || trainable%: 0.24836028248556738
","['k_proj', 'o_proj']",32,2023-10-21 02:05:55.726565,2023-10-21 03:21:25.487853,1,2000,0.023250365778443464,0.13703729273180965,"{'rouge-1': {'r': 0.21882645174152404, 'p': 0.3132633149271463, 'f': 0.21626370759419042}, 'rouge-2': {'r': 0.06315461893435091, 'p': 0.09004349753679937, 'f': 0.06023161565758177}, 'rouge-l': {'r': 0.2081651804103221, 'p': 0.29837222618866494, 'f': 0.20554971015926662}}"
