Data,TrainDataSize,ModelType,Round,BaseModelName,TrainableParams,TargetModules,RankLoRAModule,StartTime,EndTime,NumberEpochs,EvalDataSize,C-BLEU,METEOR,ROUGE-L
code_docstring_corpus_data,26980,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 4,194,304 || all params: 6,742,609,920 || trainable%: 0.06220594176090199","['q_proj', 'k_proj']",8,2024-01-13 11:31:43.561075,2024-01-13 14:46:21.419364,1,2000,0.023817697688528226,0.12439401921544527,"{'rouge-1': {'r': 0.21285545396298217, 'p': 0.23026385186163872, 'f': 0.18385133871802692}, 'rouge-2': {'r': 0.058986527845470205, 'p': 0.06363294427522996, 'f': 0.049374457490888125}, 'rouge-l': {'r': 0.20206404057234426, 'p': 0.2188340699041812, 'f': 0.1742232867951304}}"
code_docstring_corpus_data,26980,FedAvg,1,NousResearch/Llama-2-7b-hf,"trainable params: 4,194,304 || all params: 6,742,609,920 || trainable%: 0.06220594176090199
","['q_proj', 'k_proj']",8,"['2024-01-15 11:33:17.758189', '2024-01-15 12:21:47.738859', '2024-01-15 12:42:03.996205']","['2024-01-15 12:21:39.130692', '2024-01-15 12:41:55.430640', '2024-01-15 14:49:56.578142']",1,2000,0.0226814984950004,0.1378073862287271,"{'rouge-1': {'r': 0.23651467086534464, 'p': 0.24758607648209852, 'f': 0.2036664616617346}, 'rouge-2': {'r': 0.06782371525075968, 'p': 0.06650475263555604, 'f': 0.054203113983641776}, 'rouge-l': {'r': 0.22280748360229996, 'p': 0.23246302781258515, 'f': 0.19108878438867968}}"
code_docstring_corpus_data,26980,FedAvg,2,NousResearch/Llama-2-7b-hf,"trainable params: 4,194,304 || all params: 6,742,609,920 || trainable%: 0.06220594176090199
","['q_proj', 'k_proj']",8,"['2024-01-15 16:16:15.238978', '2024-01-15 17:04:45.272401', '2024-01-15 17:25:03.247870']","['2024-01-15 17:04:36.408775', '2024-01-15 17:24:54.481056', '2024-01-15 19:32:58.808261']",1,2000,0.02839064454605301,0.15701884934070168,"{'rouge-1': {'r': 0.25389625856776454, 'p': 0.3086878847888713, 'f': 0.23930154780510446}, 'rouge-2': {'r': 0.0725929312839085, 'p': 0.08763776006329023, 'f': 0.06543146925427289}, 'rouge-l': {'r': 0.24084715809732496, 'p': 0.29224318735807664, 'f': 0.22659077317395268}}"
code_docstring_corpus_data,26980,FedAvg,3,NousResearch/Llama-2-7b-hf,"trainable params: 4,194,304 || all params: 6,742,609,920 || trainable%: 0.06220594176090199
","['q_proj', 'k_proj']",8,"['2024-01-15 20:34:54.457746', '2024-01-15 21:23:25.108312', '2024-01-15 21:43:41.657034']","['2024-01-15 21:23:16.046725', '2024-01-15 21:43:33.064570', '2024-01-15 23:51:35.369840']",1,2000,0.030839142353297717,0.15296927099081448,"{'rouge-1': {'r': 0.25178190028903746, 'p': 0.31231710646604777, 'f': 0.24047237755585682}, 'rouge-2': {'r': 0.07393181674300348, 'p': 0.09125122985293402, 'f': 0.06837898504415132}, 'rouge-l': {'r': 0.2393157894623403, 'p': 0.2963571789515503, 'f': 0.2282703478088746}}"
code_docstring_corpus_data,26980,FedAvg,4,NousResearch/Llama-2-7b-hf,"trainable params: 4,194,304 || all params: 6,742,609,920 || trainable%: 0.06220594176090199
","['q_proj', 'k_proj']",8,"['2024-01-16 00:53:26.947670', '2024-01-16 01:41:57.617923', '2024-01-16 02:02:14.084474']","['2024-01-16 01:41:48.749687', '2024-01-16 02:02:05.466669', '2024-01-16 04:10:04.378279']",1,2000,0.03135451253822796,0.15980298221022113,"{'rouge-1': {'r': 0.25879295059776175, 'p': 0.3050699952359106, 'f': 0.24160770887658428}, 'rouge-2': {'r': 0.07678021555671964, 'p': 0.08946102065135252, 'f': 0.06867871970060754}, 'rouge-l': {'r': 0.24544104191356123, 'p': 0.28968241272711365, 'f': 0.2292119124414823}}"
code_docstring_corpus_data,26980,FedAvg,5,NousResearch/Llama-2-7b-hf,"trainable params: 4,194,304 || all params: 6,742,609,920 || trainable%: 0.06220594176090199
","['q_proj', 'k_proj']",8,"['2024-01-16 05:16:34.369437', '2024-01-16 06:05:04.466404', '2024-01-16 06:25:21.029321']","['2024-01-16 06:04:55.281276', '2024-01-16 06:25:12.194424', '2024-01-16 08:33:12.696527']",1,2000,0.03363877680472035,0.16007990355910084,"{'rouge-1': {'r': 0.2614972365443961, 'p': 0.29981446697729286, 'f': 0.23983016426433923}, 'rouge-2': {'r': 0.07741108975841975, 'p': 0.0865423340621908, 'f': 0.06720238946924419}, 'rouge-l': {'r': 0.24798660276172493, 'p': 0.2842862406918806, 'f': 0.22722145539409908}}"
code_docstring_corpus_data,26980,FedAvg,6,NousResearch/Llama-2-7b-hf,"trainable params: 4,194,304 || all params: 6,742,609,920 || trainable%: 0.06220594176090199
","['q_proj', 'k_proj']",8,"['2024-01-16 09:40:38.144064', '2024-01-16 10:29:07.530211', '2024-01-16 10:49:24.038726']","['2024-01-16 10:28:58.633353', '2024-01-16 10:49:15.357274', '2024-01-16 12:57:13.760221']",1,2000,0.03445075460539321,0.15916586272371425,"{'rouge-1': {'r': 0.2624754272109929, 'p': 0.30282091190596067, 'f': 0.24125873502235365}, 'rouge-2': {'r': 0.0773634073806044, 'p': 0.08753334886991673, 'f': 0.06784083518461682}, 'rouge-l': {'r': 0.2492643333515152, 'p': 0.2869231688995654, 'f': 0.22859238040509341}}"
code_docstring_corpus_data,26980,FedAvg,7,NousResearch/Llama-2-7b-hf,"trainable params: 4,194,304 || all params: 6,742,609,920 || trainable%: 0.06220594176090199
","['q_proj', 'k_proj']",8,"['2024-01-16 14:05:05.230504', '2024-01-16 14:53:34.907104', '2024-01-16 15:13:51.495234']","['2024-01-16 14:53:25.748404', '2024-01-16 15:13:42.609905', '2024-01-16 17:21:41.117729']",1,2000,0.034775171486573074,0.1614513323295228,"{'rouge-1': {'r': 0.2657520046531404, 'p': 0.29786641113056755, 'f': 0.24207493771455438}, 'rouge-2': {'r': 0.0792722566883328, 'p': 0.08634385576689028, 'f': 0.06851346377771622}, 'rouge-l': {'r': 0.25231231173366575, 'p': 0.28254716578122924, 'f': 0.22971588699475337}}"
code_docstring_corpus_data,26980,FedAvg,8,NousResearch/Llama-2-7b-hf,"trainable params: 4,194,304 || all params: 6,742,609,920 || trainable%: 0.06220594176090199
","['q_proj', 'k_proj']",8,"['2024-01-16 18:29:30.745010', '2024-01-16 19:18:00.536716', '2024-01-16 19:38:17.456737']","['2024-01-16 19:17:51.392737', '2024-01-16 19:38:08.578026', '2024-01-16 21:46:03.033760']",1,2000,0.03525842336613912,0.16159847763780863,"{'rouge-1': {'r': 0.26257359229659955, 'p': 0.2972848361405163, 'f': 0.23872072607452682}, 'rouge-2': {'r': 0.07924807418799461, 'p': 0.0861129464279208, 'f': 0.06779204720410098}, 'rouge-l': {'r': 0.24918362169487926, 'p': 0.2818890551014181, 'f': 0.22609931307210626}}"
code_docstring_corpus_data,26980,FedAvg,9,NousResearch/Llama-2-7b-hf,"trainable params: 4,194,304 || all params: 6,742,609,920 || trainable%: 0.06220594176090199
","['q_proj', 'k_proj']",8,"['2024-01-16 22:53:49.706577', '2024-01-16 23:42:18.856431', '2024-01-17 00:02:35.905307']","['2024-01-16 23:42:09.922302', '2024-01-17 00:02:27.049564', '2024-01-17 02:10:26.817438']",1,2000,0.034592151940581566,0.15659526404298169,"{'rouge-1': {'r': 0.26163884358239037, 'p': 0.2966640467842966, 'f': 0.23846625634392887}, 'rouge-2': {'r': 0.07587187761900109, 'p': 0.08327063552715482, 'f': 0.06564262104165597}, 'rouge-l': {'r': 0.24788508749666746, 'p': 0.2812967406221097, 'f': 0.22559908471405926}}"
