Data,TrainDataSize,ModelType,Round,BaseModelName,TrainableParams,TargetModules,RankLoRAModule,StartTime,EndTime,NumberEpochs,EvalDataSize,C-BLEU,METEOR,ROUGE-L
code_docstring_corpus_data,26980,Central,NA,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,2024-01-15 10:32:35.606956,2024-01-15 11:55:34.269776,1,2000,0.023945791941405205,0.12264772722844705,"{'rouge-1': {'r': 0.20883404830247243, 'p': 0.18367866250408196, 'f': 0.16350534900813948}, 'rouge-2': {'r': 0.059079800529266015, 'p': 0.04821655549942608, 'f': 0.042862711890613775}, 'rouge-l': {'r': 0.19794524667893623, 'p': 0.17444899694283464, 'f': 0.1549065276066414}}"
code_docstring_corpus_data,26980,FedAvg,1,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-01-15 12:00:03.786235', '2024-01-15 12:20:50.652680', '2024-01-15 12:29:39.156156']","['2024-01-15 12:20:32.753584', '2024-01-15 12:29:22.172857', '2024-01-15 13:23:47.174062']",1,2000,0.023877851493644554,0.12434700408404897,"{'rouge-1': {'r': 0.2057583187122319, 'p': 0.2291661880958083, 'f': 0.18208279059290206}, 'rouge-2': {'r': 0.058257064221563085, 'p': 0.0612438905159367, 'f': 0.048075289094270196}, 'rouge-l': {'r': 0.19475432912460533, 'p': 0.21657845591748176, 'f': 0.17190165878628924}}"
code_docstring_corpus_data,26980,FedAvg,2,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,['2024-01-15 16:05:21.290000'],['2024-01-15 16:59:32.180060'],1,2000,0.02717014543325047,0.1294830256401259,"{'rouge-1': {'r': 0.21400000710563322, 'p': 0.2423516688557333, 'f': 0.18991966524827333}, 'rouge-2': {'r': 0.06248499809795554, 'p': 0.069805791189532, 'f': 0.05275537298684195}, 'rouge-l': {'r': 0.2036632129783188, 'p': 0.2305419674251191, 'f': 0.18040861623992793}}"
code_docstring_corpus_data,26980,FedAvg,3,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-01-15 17:15:32.706285', '2024-01-15 17:36:17.941149', '2024-01-15 17:45:06.041854']","['2024-01-15 17:36:00.998914', '2024-01-15 17:44:49.446372', '2024-01-15 18:39:14.041898']",1,2000,0.03648990195331578,0.15493076153442198,"{'rouge-1': {'r': 0.2515032335374933, 'p': 0.2804150825419482, 'f': 0.2265153376779702}, 'rouge-2': {'r': 0.07516205490287318, 'p': 0.07901553668020424, 'f': 0.06368872222000035}, 'rouge-l': {'r': 0.2390402834865491, 'p': 0.2664321389974657, 'f': 0.2150251178592871}}"
code_docstring_corpus_data,26980,FedAvg,4,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-01-15 19:49:48.460092', '2024-01-15 20:10:32.770401', '2024-01-15 20:19:20.127294']","['2024-01-15 20:10:16.054575', '2024-01-15 20:19:03.940339', '2024-01-15 21:13:24.078474']",1,2000,0.035321563411067146,0.16442295451253577,"{'rouge-1': {'r': 0.27070975464404756, 'p': 0.28738076023830167, 'f': 0.23870888412905064}, 'rouge-2': {'r': 0.08179655540630458, 'p': 0.08305445288321514, 'f': 0.06826637550735264}, 'rouge-l': {'r': 0.2572540815206667, 'p': 0.27294202408818985, 'f': 0.226593599916496}}"
code_docstring_corpus_data,26980,FedAvg,5,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-01-15 22:26:02.866432', '2024-01-15 22:46:46.830474', '2024-01-15 22:55:33.926954']","['2024-01-15 22:46:29.975612', '2024-01-15 22:55:17.646637', '2024-01-15 23:49:37.587160']",1,2000,0.036334192538957893,0.16255024363253062,"{'rouge-1': {'r': 0.26773857664566086, 'p': 0.27945367980629937, 'f': 0.2344982363646781}, 'rouge-2': {'r': 0.08197481701907351, 'p': 0.07945372920377872, 'f': 0.06633515699433781}, 'rouge-l': {'r': 0.25433169620339524, 'p': 0.2647484815711692, 'f': 0.22213489300494266}}"
code_docstring_corpus_data,26980,FedAvg,6,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-01-16 01:03:45.764813', '2024-01-16 01:24:29.575371', '2024-01-16 01:33:16.838419']","['2024-01-16 01:24:12.849725', '2024-01-16 01:33:00.549826', '2024-01-16 02:27:25.637769']",1,2000,0.03818059945735211,0.16076685581550754,"{'rouge-1': {'r': 0.26401133676982885, 'p': 0.285025761613778, 'f': 0.23340975431015826}, 'rouge-2': {'r': 0.08011272303927419, 'p': 0.08244512000525785, 'f': 0.06683912653943873}, 'rouge-l': {'r': 0.2510034400317218, 'p': 0.27057238248503773, 'f': 0.22148960557043904}}"
code_docstring_corpus_data,26980,FedAvg,7,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-01-16 03:38:54.960588', '2024-01-16 03:59:40.398373', '2024-01-16 04:08:29.216085']","['2024-01-16 03:59:23.458183', '2024-01-16 04:08:12.212940', '2024-01-16 05:02:41.738917']",1,2000,0.03804456759449167,0.16410332261884186,"{'rouge-1': {'r': 0.2669850948501847, 'p': 0.28674944397304436, 'f': 0.2374408738167445}, 'rouge-2': {'r': 0.08167183660300768, 'p': 0.08107605128665922, 'f': 0.0675616515191197}, 'rouge-l': {'r': 0.25331436341290486, 'p': 0.2713804475980991, 'f': 0.22483885546697138}}"
code_docstring_corpus_data,26980,FedAvg,8,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-01-16 06:12:52.885416', '2024-01-16 06:33:39.748230', '2024-01-16 06:42:28.009945']","['2024-01-16 06:33:22.862709', '2024-01-16 06:42:11.553768', '2024-01-16 07:36:35.777348']",1,2000,0.03843834566252813,0.16307903916327685,"{'rouge-1': {'r': 0.2698570731189687, 'p': 0.2829939844453487, 'f': 0.23764677246629184}, 'rouge-2': {'r': 0.08267860312704088, 'p': 0.08219322415618877, 'f': 0.06827364743841871}, 'rouge-l': {'r': 0.2567265107792743, 'p': 0.26900783367999903, 'f': 0.22554935818764493}}"
code_docstring_corpus_data,26980,FedAvg,9,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-01-16 08:48:56.995179', '2024-01-16 09:09:43.392088', '2024-01-16 09:18:31.965740']","['2024-01-16 09:09:26.585000', '2024-01-16 09:18:15.753792', '2024-01-16 10:12:43.867824']",1,2000,0.038408668973809144,0.15841869007530443,"{'rouge-1': {'r': 0.2636269625415556, 'p': 0.27957784918692224, 'f': 0.23291880792230849}, 'rouge-2': {'r': 0.07723915202199054, 'p': 0.0763533044813553, 'f': 0.06389873451089298}, 'rouge-l': {'r': 0.2498399828424348, 'p': 0.26436321845497573, 'f': 0.2201252273610606}}"
code_docstring_corpus_data,26980,FedAvg,10,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591
","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-01-16 11:23:55.119108', '2024-01-16 11:46:28.645644', '2024-01-16 11:55:16.964729']","['2024-01-16 11:46:10.655214', '2024-01-16 11:54:59.581228', '2024-01-16 12:49:29.135319']",1,2000,0.03591100735804944,0.15389718765585672,"{'rouge-1': {'r': 0.26011118678994616, 'p': 0.2730244414207671, 'f': 0.22668252597758598}, 'rouge-2': {'r': 0.07604742760568721, 'p': 0.07263371290170717, 'f': 0.061667964853689514}, 'rouge-l': {'r': 0.24676577723617282, 'p': 0.2591531315725683, 'f': 0.21479417143136956}}"
